Sample	Total_number_of_reads	Percentage_reads_mapped	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	Run	Duplication	Methode	Number_variants	Perc_dbSNP_variants	Perc_PASS_variants
U160970CF2017D04931	102319005	99.64%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	101722628	101722628	 91999614	1	0.904416	 88027149	0.956821	13004302087	6587142932	3208084619	3209074536	4562511614	0.753230	0.246770	0.672485	 97.48483	104.74050	0.428847	0.297036	23.20641	0.016791	1.636570	0.981134	0.974032	0.966709	0.954843	0.932052	0.888993	0.461187	184366736	4.731535	4.810877	4.884930	4.961628	5.045731	5.528134	4.624741	1.400626	170505_NB501012_0134_AHMM5HBGX2	9.53727883277922	Exomes	82434	0.9102312152752505	0.8625324502025863
U176889CM2017D05280	112811165	99.53%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	112151412	112151412	 99719915	1	0.889154	 95198343	0.954657	14057042072	7068290385	3421973240	3566778447	4893723748	0.746264	0.253736	0.673795	104.60546	112.16570	0.417381	0.288973	23.03660	0.015203	1.649496	0.982688	0.975864	0.969278	0.958672	0.938954	0.903708	0.519070	171082681	4.817794	4.896341	4.983616	5.070890	5.165147	5.709741	4.552815	1.263740	170505_NB501012_0134_AHMM5HBGX2	11.0714777770188	Exomes	82297	0.9116735725482096	0.8641870299038847
U177564CF2017D05327	97293485	99.64%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 96700546	 96700546	 86174646	1	0.891150	 82326248	0.955342	12156740854	6010333141	2856932574	3289475139	4162292963	0.729411	0.270589	0.677811	 88.94848	 95.58117	0.411616	0.285054	22.65058	0.016981	1.647951	0.980758	0.973529	0.965142	0.949366	0.916357	0.856799	0.382761	147595682	4.906981	4.997321	5.102718	5.208115	5.319534	6.006120	4.687450	1.314594	170505_NB501012_0134_AHMM5HBGX2	10.857389342646	Exomes	82287	0.9122218576445854	0.8647660019201089
U177571CM2017D05382	100499067	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 99922074	 99922074	 90517480	1	0.905881	 86613473	0.956870	12791732193	6521462409	3316938506	2953331278	4527026236	0.769122	0.230878	0.662858	 96.51281	103.80990	0.432222	0.300037	23.35682	0.015707	1.674353	0.982399	0.975471	0.968052	0.955058	0.929065	0.882269	0.452164	187536097	4.805314	4.883245	4.955980	5.039106	5.126389	5.625147	4.987973	1.191995	170505_NB501012_0134_AHMM5HBGX2	9.39341555368864	Exomes	82176	0.9086594626168224	0.86305003894081
U161724CM2015D13656	91849345	99.66%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 91296436	 91296436	 81428831	1	0.891917	 77663931	0.953765	11463750525	5895375104	2756123331	2812252090	4094966433	0.754683	0.245317	0.681428	 87.24718	 93.94215	0.427642	0.297043	23.56040	0.016463	1.677538	0.981635	0.974414	0.965533	0.946799	0.907574	0.840825	0.366829	144985126	4.786656	4.885988	4.985321	5.098843	5.212366	5.904855	5.912009	1.023524	170505_NB501012_0134_AHMM5HBGX2	10.7798012696641	Exomes	78806	0.8983706824353476	0.8627896353069563
U176731CM2017D05286	108221484	99.64%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	107597954	107597954	 96660249	1	0.898347	 92406352	0.955991	13646950124	6898296613	3419663811	3328989700	4770232905	0.756063	0.243937	0.668572	102.08968	109.39227	0.424581	0.293602	23.15817	0.015579	1.657459	0.982367	0.975306	0.968238	0.956702	0.935414	0.897870	0.497398	182897875	4.812388	4.896243	4.968917	5.055567	5.147808	5.644228	3.543770	1.486400	170505_NB501012_0134_AHMM5HBGX2	10.1428903612355	Exomes	83079	0.9085689524428556	0.862733061303097
U177518CF2017D05143	109164947	99.60%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	108525764	108525764	 97455737	1	0.897996	 93209781	0.956432	13764368578	6878215294	3458168537	3427984747	4755111477	0.750952	0.249048	0.665437	101.79249	109.15895	0.419726	0.290169	22.89378	0.016463	1.629238	0.981357	0.974269	0.967459	0.956722	0.936950	0.900382	0.497058	182372838	4.790629	4.866784	4.940119	5.027557	5.107097	5.608030	3.621104	1.588183	170505_NB501012_0134_AHMM5HBGX2	10.1810842592847	Exomes	82380	0.906081573197378	0.8665452779800923
U177532CM2017D05231	123768994	99.62%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	123035518	123035518	110274935	1	0.896285	105391230	0.955713	15561914269	7685572231	3773308146	4103033892	5317191702	0.736341	0.263659	0.670709	113.74077	121.83676	0.413684	0.286203	22.62618	0.014842	1.646443	0.982848	0.975825	0.969509	0.960554	0.945446	0.919427	0.588391	199273513	4.881460	4.958131	5.034802	5.101890	5.180478	5.640506	3.522091	1.597390	170505_NB501012_0134_AHMM5HBGX2	10.348895446999	Exomes	82486	0.9103241762238441	0.8615522634143976
U151350CM2017D05483	106061479	99.72%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	105537218	105537218	 95888538	1	0.908576	91877409	0.958169	13606559501	6683871227	3322314908	3600373366	4627791296	0.735394	0.264606	0.667974	 98.91634	106.07297	0.419416	0.290396	22.50493	0.015080	1.657390	0.982627	0.975257	0.967916	0.955493	0.931379	0.888335	0.471639	196094321	4.944470	5.018873	5.090519	5.167677	5.253654	5.723215	5.010543	1.391480	170508_NB501012_0135_AHTGMKBGX2	9.12299203367796	Exomes	83528	0.9071329374580979	0.8603941193372282
U177669CF2017D05567	97037847	99.68%	SureSelect_CREv2_elidS30409818_Covered	3095693981	67570952	44205248	0.654205	 96544932	 96544932	 87353935	1	0.904801	83630200	0.957372	12384509511	6103262994	3021169333	3260077184	4220728550	0.736762	0.263238	0.668892	 90.32377	 96.88783	0.418654	0.289522	22.57778	0.016548	1.642167	0.981400	0.973846	0.965740	0.951298	0.921199	0.865417	0.394297	171955210	4.898094	4.981212	5.066849	5.155004	5.244166	5.800299	4.552232	1.440682	170508_NB501012_0135_AHTGMKBGX2	9.50208185708641	Exomes	85032	0.8928756232947597	0.8643922288079782
