Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
1	143427440	100.0	96.42	3.58	28972	95.04	95.53	38.37	303724246	288535121	58284	170503_D00267_0696_AHHYNWBCXY	hiseq_umc01
2	145107681	100.0	96.25	3.75	29312	94.96	95.55	38.37	303724246	288535121	58284	170503_D00267_0696_AHHYNWBCXY	hiseq_umc01
1	140659208	100.0	98.12	1.88	28413	95.4	95.41	38.31	291703076	278547112	56267	170503_D00267_0697_BHJMFYBCXY	hiseq_umc01
2	137887904	100.0	98.01	1.99	27853	95.59	95.66	38.39	291703076	278547112	56267	170503_D00267_0697_BHJMFYBCXY	hiseq_umc01
1	166652799	100.0	97.53	2.47	33664	93.47	93.56	37.84	356323761	332387198	67142	170512_D00267_0698_AHJM5HBCXY	hiseq_umc01
2	165734399	100.0	97.61	2.39	33478	93.1	93.89	37.92	356323761	332387198	67142	170512_D00267_0698_AHJM5HBCXY	hiseq_umc01
1	174168120	100.0	97.82	2.18	35182	93.52	93.78	37.84	369556444	345986428	69889	170512_D00267_0699_BHHYNYBCXY	hiseq_umc01
2	171818308	100.0	97.93	2.07	34707	93.73	93.94	37.89	369556444	345986428	69889	170512_D00267_0699_BHHYNYBCXY	hiseq_umc01
1	179882848	100.0	97.73	2.27	36336	93.04	93.1	37.66	390530727	362725446	73271	170531_D00267_0700_AHJ22CBCXY	hiseq_umc01
2	182842598	100.0	97.83	2.17	36934	92.72	92.99	37.62	390530727	362725446	73271	170531_D00267_0700_AHJ22CBCXY	hiseq_umc01
1	187825525	100.0	96.97	3.03	37941	92.88	93.02	37.66	405815496	377631819	76282	170609_D00267_0701_AHHYKJBCXY	hiseq_umc01
2	189806294	100.0	97.04	2.96	38341	93.23	93.15	37.69	405815496	377631819	76282	170609_D00267_0701_AHHYKJBCXY	hiseq_umc01
1	171571014	100.0	97.86	2.14	34657	91.32	91.86	37.27	378802128	346627489	70019	170627_D00267_0702_AHJ5KMBCXY	hiseq_umc01
2	175056475	100.0	97.88	2.12	35361	91.69	92.28	37.4	378802128	346627489	70019	170627_D00267_0702_AHJ5KMBCXY	hiseq_umc01
1	175803751	100.0	97.53	2.47	35512	91.71	91.55	37.19	381147989	350007687	70702	170627_D00267_0703_BHJ2JGBCXY	hiseq_umc01
2	174203936	100.0	97.64	2.36	35189	91.95	92.12	37.35	381147989	350007687	70702	170627_D00267_0703_BHJ2JGBCXY	hiseq_umc01
1	177180416	100.0	97.92	2.08	35790	93.72	92.69	37.6	381166448	357360325	72187	170707_D00267_0704_AHJ2H2BCXY	hiseq_umc01
2	180179909	100.0	97.9	2.1	36396	93.79	92.86	37.63	381166448	357360325	72187	170707_D00267_0704_AHJ2H2BCXY	hiseq_umc01
1	176699131	100.0	98.12	1.88	35693	94.03	93.5	37.78	378681631	356160087	71944	170711_D00267_0705_AHHYKWBCXY	hiseq_umc01
2	179460956	100.0	98.04	1.96	36251	94.08	93.53	37.78	378681631	356160087	71944	170711_D00267_0705_AHHYKWBCXY	hiseq_umc01
1	189398594	100.0	98.47	1.53	38259	92.78	93.33	37.75	412555954	381818657	77127	170713_D00267_0706_AHJNV3BCXY	hiseq_umc01
2	192420063	100.0	98.42	1.58	38869	92.33	93.18	37.7	412555954	381818657	77127	170713_D00267_0706_AHJNV3BCXY	hiseq_umc01
